ID,X,Y,Z,GripperAngle,GripperRotation,GripperWidth,Easing,Brightness,r,g,b,X1,Y1,Animation
100,0,0,0,0,0,0,0,0,0,0,0,0,0,17
101,0,0,0,0,0,0,0,0,0,0,0,0,0,18
102,0,0,0,0,0,0,0,0,0,0,0,0,0,4
103,0,0,0,0,0,0,0,0,0,0,0,0,0,10
104,0,0,0,0,0,0,0,0,0,0,0,0,0,31
105,-300,0,208,17.0,134,90,200,255,0,255,0,1700,1700,0
106,-300,0,208,17.0,134,90,200,255,0,255,0,1700,1700,0
107,0,0,0,0,0,0,0,0,0,0,0,0,0,10
108,0,0,0,0,0,0,0,0,0,0,0,0,0,4
109,0,0,0,0,0,0,0,0,0,0,0,0,0,4
110,0,0,0,0,0,0,0,0,0,0,0,0,0,2
111,0,0,0,0,0,0,0,0,0,0,0,0,0,16
112,0,0,0,0,0,0,0,0,0,0,0,0,0,8
113,0,0,0,0,0,0,0,0,0,0,0,0,0,16
114,0,0,0,0,0,0,0,0,0,0,0,0,0,7
115,0,0,0,0,0,0,0,0,0,0,0,0,0,31
116,0,0,0,0,0,0,0,0,0,0,0,0,0,8
117,0,0,0,0,0,0,0,0,0,0,0,0,0,4
118,0,0,0,0,0,0,0,0,0,0,0,0,0,8
119,0,0,0,0,0,0,0,0,0,0,0,0,0,16
120,0,0,0,0,0,0,0,0,0,0,0,0,0,31
121,0,0,0,0,0,0,0,0,0,0,0,0,0,8
122,0,0,0,0,0,0,0,0,0,0,0,0,0,31
123,0,0,0,0,0,0,0,0,0,0,0,0,0,8
124,96,100,208,17,46,90,250,255,0,255,0,400,1600,0
125,0,0,0,0,0,0,0,0,0,0,0,0,0,31
126,0,0,0,0,0,0,0,0,0,0,0,0,0,10
127,0,0,0,0,0,0,0,0,0,0,0,0,0,16
128,-124,100,208,17,180,90,200,255,0,255,0,1000,1600,0
129,-24.0,224.0,316.0,1.0,178,86,200,33,0,255,0,1000,1600,0
130,0,0,0,0,0,0,0,0,0,0,0,0,0,13
131,0,0,0,0,0,0,0,0,0,0,0,0,0,1
132,0,0,0,0,0,0,0,0,0,0,0,0,0,2
133,0,0,0,0,0,0,0,0,0,0,0,0,0,4
134,0,0,0,0,0,0,0,0,0,0,0,0,0,4
135,0,0,0,0,0,0,0,0,0,0,0,0,0,4
136,0,0,0,0,0,0,0,0,0,0,0,0,0,13
137,0,0,0,0,0,0,0,0,0,0,0,0,0,15
138,0,0,0,0,0,0,0,0,0,0,0,0,0,34
139,0,0,0,0,0,0,0,0,0,0,0,0,0,35
140,0,0,0,0,0,0,0,0,0,0,0,0,0,36
141,0,0,0,0,0,0,0,0,0,0,0,0,0,37
